datum_do,ge_dolzina,ge_sirina,merilno_mesto,nadm_visina,pm25,pm10,sifra
2023-02-20 23:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-19 05:00,15.881421,46.425815,Ptuj,230,23,23,E801
2023-02-16 20:00,15.881421,46.425815,Ptuj,230,73,84,E801
2023-02-21 08:00,15.881421,46.425815,Ptuj,230,25,29,E801
2023-02-19 14:00,15.881421,46.425815,Ptuj,230,14,20,E801
2023-02-24 05:00,15.881421,46.425815,Ptuj,230,37,40,E801
2023-02-18 00:00,15.881421,46.425815,Ptuj,230,40,44,E801
2023-02-24 03:00,15.881421,46.425815,Ptuj,230,32,35,E801
2023-02-16 11:00,15.881421,46.425815,Ptuj,230,65,78,E801
2023-02-17 06:00,15.881421,46.425815,Ptuj,230,38,45,E801
2023-02-21 12:00,15.881421,46.425815,Ptuj,230,24,35,E801
2023-02-19 11:00,15.881421,46.425815,Ptuj,230,17,19,E801
2023-02-23 19:00,15.881421,46.425815,Ptuj,230,81,95,E801
2023-02-23 18:00,15.881421,46.425815,Ptuj,230,76,90,E801
2023-02-20 22:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-24 09:00,15.881421,46.425815,Ptuj,230,48,60,E801
2023-02-23 16:00,15.881421,46.425815,Ptuj,230,53,71,E801
2023-02-18 00:00,15.881421,46.425815,Ptuj,230,40,44,E801
2023-02-16 23:00,15.881421,46.425815,Ptuj,230,76,80,E801
2023-02-25 10:00,15.881421,46.425815,Ptuj,230,10,13,E801
2023-02-18 16:00,15.881421,46.425815,Ptuj,230,40,44,E801
2023-02-22 10:00,15.881421,46.425815,Ptuj,230,28,38,E801
2023-02-23 06:00,15.881421,46.425815,Ptuj,230,47,52,E801
2023-02-16 04:00,15.881421,46.425815,Ptuj,230,47,49,E801
2023-02-18 06:00,15.881421,46.425815,Ptuj,230,36,40,E801
2023-02-23 04:00,15.881421,46.425815,Ptuj,230,42,45,E801
2023-02-24 16:00,15.881421,46.425815,Ptuj,230,28,45,E801
2023-02-23 16:00,15.881421,46.425815,Ptuj,230,53,71,E801
2023-02-23 07:00,15.881421,46.425815,Ptuj,230,47,56,E801
2023-02-23 10:00,15.881421,46.425815,Ptuj,230,60,78,E801
2023-02-20 19:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-17 18:00,15.881421,46.425815,Ptuj,230,26,32,E801
2023-02-16 12:00,15.881421,46.425815,Ptuj,230,65,77,E801
2023-02-24 14:00,15.881421,46.425815,Ptuj,230,39,56,E801
2023-02-23 18:00,15.881421,46.425815,Ptuj,230,76,90,E801
2023-02-21 17:00,15.881421,46.425815,Ptuj,230,24,32,E801
2023-02-19 16:00,15.881421,46.425815,Ptuj,230,13,19,E801
2023-02-17 16:00,15.881421,46.425815,Ptuj,230,23,31,E801
2023-02-18 05:00,15.881421,46.425815,Ptuj,230,37,40,E801
2023-02-24 19:00,15.881421,46.425815,Ptuj,230,35,45,E801
2023-02-20 18:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-18 02:00,15.881421,46.425815,Ptuj,230,37,39,E801
2023-02-16 14:00,15.881421,46.425815,Ptuj,230,48,60,E801
2023-02-23 12:00,15.881421,46.425815,Ptuj,230,68,84,E801
2023-02-24 22:00,15.881421,46.425815,Ptuj,230,30,39,E801
2023-02-16 16:00,15.881421,46.425815,Ptuj,230,52,63,E801
2023-02-21 13:00,15.881421,46.425815,Ptuj,230,24,31,E801
2023-02-24 06:00,15.881421,46.425815,Ptuj,230,35,38,E801
2023-02-16 04:00,15.881421,46.425815,Ptuj,230,47,49,E801
2023-02-23 13:00,15.881421,46.425815,Ptuj,230,59,72,E801
2023-02-21 14:00,15.881421,46.425815,Ptuj,230,23,31,E801
2023-02-24 12:00,15.881421,46.425815,Ptuj,230,42,57,E801
2023-02-20 10:00,15.881421,46.425815,Ptuj,230,35,45,E801
2023-02-23 08:00,15.881421,46.425815,Ptuj,230,55,63,E801
2023-02-19 15:00,15.881421,46.425815,Ptuj,230,12,17,E801
2023-02-23 17:00,15.881421,46.425815,Ptuj,230,63,76,E801
2023-02-25 09:00,15.881421,46.425815,Ptuj,230,12,17,E801
2023-02-20 07:00,15.881421,46.425815,Ptuj,230,17,20,E801
2023-02-21 21:00,15.881421,46.425815,Ptuj,230,45,53,E801
2023-02-23 05:00,15.881421,46.425815,Ptuj,230,49,54,E801
2023-02-25 04:00,15.881421,46.425815,Ptuj,230,15,26,E801
2023-02-18 23:00,15.881421,46.425815,Ptuj,230,26,29,E801
2023-02-20 17:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-20 23:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-23 14:00,15.881421,46.425815,Ptuj,230,50,64,E801
2023-02-21 01:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-18 13:00,15.881421,46.425815,Ptuj,230,53,59,E801
2023-02-17 17:00,15.881421,46.425815,Ptuj,230,24,30,E801
2023-02-24 16:00,15.881421,46.425815,Ptuj,230,28,45,E801
2023-02-20 22:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-21 13:00,15.881421,46.425815,Ptuj,230,24,31,E801
2023-02-22 08:00,15.881421,46.425815,Ptuj,230,47,58,E801
2023-02-23 08:00,15.881421,46.425815,Ptuj,230,55,63,E801
2023-02-24 11:00,15.881421,46.425815,Ptuj,230,42,57,E801
2023-02-23 16:00,15.881421,46.425815,Ptuj,230,53,71,E801
2023-02-19 15:00,15.881421,46.425815,Ptuj,230,12,17,E801
2023-02-19 23:00,15.881421,46.425815,Ptuj,230,32,36,E801
2023-02-24 14:00,15.881421,46.425815,Ptuj,230,39,56,E801
2023-02-19 21:00,15.881421,46.425815,Ptuj,230,32,37,E801
2023-02-20 11:00,15.881421,46.425815,Ptuj,230,29,42,E801
2023-02-17 03:00,15.881421,46.425815,Ptuj,230,41,44,E801
2023-02-17 00:00,15.881421,46.425815,Ptuj,230,90,94,E801
2023-02-24 21:00,15.881421,46.425815,Ptuj,230,32,42,E801
2023-02-24 07:00,15.881421,46.425815,Ptuj,230,36,40,E801
2023-02-25 02:00,15.881421,46.425815,Ptuj,230,19,32,E801
2023-02-24 02:00,15.881421,46.425815,Ptuj,230,29,33,E801
2023-02-17 16:00,15.881421,46.425815,Ptuj,230,23,31,E801
2023-02-23 10:00,15.881421,46.425815,Ptuj,230,60,78,E801
2023-02-22 06:00,15.881421,46.425815,Ptuj,230,44,49,E801
2023-02-18 19:00,15.881421,46.425815,Ptuj,230,28,34,E801
2023-02-16 05:00,15.881421,46.425815,Ptuj,230,56,58,E801
2023-02-19 05:00,15.881421,46.425815,Ptuj,230,23,23,E801
2023-02-19 10:00,15.881421,46.425815,Ptuj,230,20,22,E801
2023-02-16 15:00,15.881421,46.425815,Ptuj,230,42,55,E801
2023-02-22 09:00,15.881421,46.425815,Ptuj,230,34,49,E801
2023-02-19 20:00,15.881421,46.425815,Ptuj,230,28,35,E801
2023-02-18 17:00,15.881421,46.425815,Ptuj,230,37,44,E801
2023-02-23 11:00,15.881421,46.425815,Ptuj,230,65,86,E801
2023-02-16 04:00,15.881421,46.425815,Ptuj,230,47,49,E801
2023-02-22 23:00,15.881421,46.425815,Ptuj,230,45,49,E801
2023-02-22 00:00,15.881421,46.425815,Ptuj,230,43,47,E801
2023-02-18 07:00,15.881421,46.425815,Ptuj,230,35,38,E801
2023-02-21 06:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-22 20:00,15.881421,46.425815,Ptuj,230,54,72,E801
2023-02-22 13:00,15.881421,46.425815,Ptuj,230,30,39,E801
2023-02-19 12:00,15.881421,46.425815,Ptuj,230,15,18,E801
2023-02-20 08:00,15.881421,46.425815,Ptuj,230,22,27,E801
2023-02-21 05:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-23 11:00,15.881421,46.425815,Ptuj,230,65,86,E801
2023-02-21 13:00,15.881421,46.425815,Ptuj,230,24,31,E801
2023-02-25 10:00,15.881421,46.425815,Ptuj,230,10,13,E801
2023-02-16 15:00,15.881421,46.425815,Ptuj,230,42,55,E801
2023-02-20 10:00,15.881421,46.425815,Ptuj,230,35,45,E801
2023-02-24 07:00,15.881421,46.425815,Ptuj,230,36,40,E801
2023-02-19 03:00,15.881421,46.425815,Ptuj,230,32,36,E801
2023-02-16 18:00,15.881421,46.425815,Ptuj,230,73,88,E801
2023-02-16 14:00,15.881421,46.425815,Ptuj,230,48,60,E801
2023-02-16 01:00,15.881421,46.425815,Ptuj,230,56,58,E801
2023-02-23 07:00,15.881421,46.425815,Ptuj,230,47,56,E801
2023-02-18 20:00,15.881421,46.425815,Ptuj,230,26,30,E801
2023-02-19 13:00,15.881421,46.425815,Ptuj,230,14,18,E801
2023-02-21 03:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-24 09:00,15.881421,46.425815,Ptuj,230,48,60,E801
2023-02-15 23:00,15.881421,46.425815,Ptuj,230,62,65,E801
2023-02-21 05:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-25 09:00,15.881421,46.425815,Ptuj,230,12,17,E801
2023-02-23 04:00,15.881421,46.425815,Ptuj,230,42,45,E801
2023-02-16 10:00,15.881421,46.425815,Ptuj,230,54,59,E801
2023-02-21 06:00,15.881421,46.425815,Ptuj,230,,,E801
2023-02-18 20:00,15.881421,46.425815,Ptuj,230,26,30,E801
2023-02-18 19:00,15.881421,46.425815,Ptuj,230,28,34,E801
2023-02-23 07:00,15.881421,46.425815,Ptuj,230,47,56,E801
2023-02-21 16:00,15.881421,46.425815,Ptuj,230,23,32,E801
2023-02-18 03:00,15.881421,46.425815,Ptuj,230,39,42,E801
2023-02-21 11:00,15.881421,46.425815,Ptuj,230,24,35,E801
2023-02-23 00:00,15.881421,46.425815,Ptuj,230,42,45,E801
2023-02-23 07:00,15.881421,46.425815,Ptuj,230,47,56,E801
2023-02-17 17:00,15.881421,46.425815,Ptuj,230,24,30,E801
2023-02-20 09:00,15.881421,46.425815,Ptuj,230,30,36,E801
2023-02-25 06:00,15.881421,46.425815,Ptuj,230,15,27,E801
2023-02-16 18:00,15.881421,46.425815,Ptuj,230,73,88,E801
